label_history,accuracy_history
20,0.296999990940094
30,0.4542999863624573
40,0.5220000147819519
50,0.6640999913215637
60,0.6474999785423279
70,0.7142000198364258
80,0.6725000143051147
90,0.5979999899864197
100,0.7009000182151794
110,0.7117999792098999
120,0.7472000122070312
130,0.7846999764442444
140,0.7439000010490417
150,0.8273000121116638
160,0.7967000007629395
170,0.8314999938011169
180,0.8381999731063843
190,0.8166999816894531
200,0.8339999914169312
210,0.8233000040054321
220,0.8755999803543091
230,0.8406000137329102
240,0.8550999760627747
250,0.8593000173568726
260,0.8443999886512756
270,0.8876000046730042
280,0.8711000084877014
290,0.8827999830245972
300,0.8611000180244446
310,0.8737000226974487
320,0.8804000020027161
330,0.8845000267028809
340,0.8881000280380249
350,0.8867999911308289
360,0.8917999863624573
370,0.890999972820282
380,0.886900007724762
390,0.8988999724388123
400,0.8895000219345093
410,0.9017000198364258
