label_history,rmse_history
20,0.27290474365797623
30,0.2714132948791285
40,0.25855397532528207
50,0.25594284297935105
60,0.24725653034991668
70,0.24828343298098554
80,0.23663609173329242
90,0.2344963688401108
100,0.23109352623427612
110,0.22175881855015794
120,0.21952098055371644
130,0.22050415627780293
140,0.2141230556550913
150,0.21106180081873008
160,0.21108729449990865
170,0.1950170751190436
180,0.19402396153340026
190,0.19676183278433912
200,0.19144879717798854
210,0.19309571783605087
220,0.1928443990658005
230,0.19206121524427083
240,0.1863701561661318
250,0.1816345964531766
260,0.177397404518849
270,0.18043837082782427
280,0.1819369918303742
290,0.17864623725057585
300,0.17076811615828835
310,0.17037120370224046
320,0.16920676226264014
330,0.16817924267338114
340,0.1646970124348858
350,0.17090559345755155
360,0.1630252820252962
370,0.16351215006293582
380,0.15999165250400363
390,0.15972265001599745
400,0.15452807870610566
410,0.16069526514769703
420,0.15558249595086443
430,0.1585019371623559
440,0.1593474912643876
450,0.15777968320379523
460,0.15219033921853312
470,0.15053912204057696
480,0.15629378485107903
490,0.15207832488787892
500,0.14742654763031632
510,0.15222423037140967
