label_history,rmse_history
20,0.26437487174962576
30,0.26986837616556225
40,0.2655008829642153
50,0.26382321227409367
60,0.2617954124080948
70,0.2599054785973776
80,0.2556185114176439
90,0.2520224606513977
100,0.2497434477562858
110,0.24376546975621885
120,0.23385075035149755
130,0.22987086949326097
140,0.22608368052220906
150,0.22662622715652908
160,0.22196634975155297
170,0.21551465852865118
180,0.21155702642110227
190,0.21043688908651795
200,0.20591568699272247
210,0.20638427447894625
220,0.20622945787606264
230,0.20371112293617655
240,0.19574159615914605
250,0.19732168782434564
260,0.19321913875373048
270,0.18518957692334057
280,0.18257717701029785
290,0.18490542345660488
300,0.17818904348558534
310,0.1804258743970739
320,0.179935655326571
330,0.1751078663042814
340,0.17666902890171213
350,0.16965862753409278
360,0.17077754654779329
370,0.17251528063955568
380,0.17567332376599257
390,0.17237143817552686
400,0.16654276052086564
410,0.16687103086627827
420,0.16966721095896983
430,0.16866910734890084
440,0.16497234570305902
450,0.16460264328510482
460,0.16276795800542032
470,0.15700598676924882
480,0.1547976162501849
490,0.15019682514490013
500,0.15045947325298384
510,0.1492937073694982
