label_history,accuracy_history
20,0.3603000044822693
30,0.526199996471405
40,0.5001000165939331
50,0.5996000170707703
60,0.6549000144004822
70,0.6782000064849854
80,0.6959999799728394
90,0.6916999816894531
100,0.7311000227928162
110,0.7742999792098999
120,0.795199990272522
130,0.730400025844574
140,0.8090000152587891
150,0.8156999945640564
160,0.8245999813079834
170,0.7918000221252441
180,0.8736000061035156
190,0.8550000190734863
200,0.8690000176429749
210,0.8725000023841858
220,0.882099986076355
230,0.8708000183105469
240,0.8841999769210815
250,0.854200005531311
260,0.8754000067710876
270,0.8601999878883362
280,0.892799973487854
290,0.883400022983551
300,0.878000020980835
310,0.8986999988555908
320,0.8956999778747559
330,0.8780999779701233
340,0.8924999833106995
350,0.9047999978065491
360,0.9013000130653381
370,0.9093000292778015
380,0.9014999866485596
390,0.9147999882698059
400,0.9111999869346619
410,0.9114999771118164
