label_history,rmse_history
20,2.069538
30,2.7499042
40,2.5783753
50,3.2951934
60,2.965532
70,2.7569587
80,2.6137354
90,2.936405
100,3.0117953
110,2.7546418
120,2.9031944
130,2.3518233
140,2.3112683
150,2.662527
160,3.1519773
170,2.8747625
180,3.0768507
190,2.8859646
200,2.82503
210,2.8865778
220,2.7078366
230,3.2173424
240,2.9350786
250,2.7168424
260,2.6600175
270,2.4210558
280,3.1298351
290,2.2270029
300,3.0621297
310,2.6009698
320,2.6723056
330,2.8268375
340,3.101986
350,2.8007207
360,2.9342468
370,2.7285206
380,2.621953
390,2.5042882
400,2.3948143
410,2.3806722
420,2.6800852
430,2.5527136
440,2.5013134
450,2.5196106
460,2.388618
470,2.6620252
480,2.6392336
490,2.355746
500,2.398465
510,2.5613363
