label_history,accuracy_history
20,0.4408000111579895
30,0.48969998955726624
40,0.5842000246047974
50,0.6801999807357788
60,0.6868000030517578
70,0.6653000116348267
80,0.7182999849319458
90,0.7409999966621399
100,0.7696999907493591
110,0.8016999959945679
120,0.8145999908447266
130,0.8007000088691711
140,0.8159000277519226
150,0.852400004863739
160,0.866100013256073
170,0.8727999925613403
180,0.8759999871253967
190,0.8810999989509583
200,0.8873000144958496
210,0.8791000247001648
220,0.8889999985694885
230,0.892300009727478
240,0.9006999731063843
250,0.8942000269889832
260,0.8931999802589417
270,0.8822000026702881
280,0.8899000287055969
290,0.9138000011444092
300,0.9140999913215637
310,0.9052000045776367
320,0.9142000079154968
330,0.9140999913215637
340,0.9077000021934509
350,0.9232000112533569
360,0.9176999926567078
370,0.9186999797821045
380,0.9171000123023987
390,0.9070000052452087
400,0.9212999939918518
410,0.9196000099182129
420,0.9266999959945679
430,0.920799970626831
440,0.9316999912261963
450,0.9161999821662903
460,0.9160000085830688
470,0.9309999942779541
480,0.9264000058174133
490,0.9379000067710876
500,0.9315999746322632
510,0.9377999901771545
520,0.9247000217437744
530,0.9284999966621399
540,0.9323999881744385
550,0.9399999976158142
560,0.9395999908447266
570,0.9343000054359436
580,0.9363999962806702
590,0.9362000226974487
600,0.9405999779701233
610,0.9430000185966492
620,0.9373999834060669
630,0.9377999901771545
640,0.939300000667572
650,0.9390000104904175
660,0.9434999823570251
670,0.9422000050544739
680,0.9372000098228455
690,0.9433000087738037
700,0.9434999823570251
710,0.9434000253677368
720,0.9434000253677368
730,0.947700023651123
740,0.9452000260353088
750,0.9473000168800354
760,0.9453999996185303
770,0.9445000290870667
780,0.942799985408783
790,0.9487000107765198
800,0.9495000243186951
810,0.948199987411499
820,0.9509999752044678
830,0.953499972820282
840,0.9453999996185303
850,0.9506000280380249
860,0.9527000188827515
870,0.9430999755859375
880,0.9545999765396118
890,0.9485999941825867
900,0.9488999843597412
910,0.9480999708175659
920,0.9535999894142151
930,0.9492999911308289
940,0.9505000114440918
950,0.9509999752044678
960,0.9545999765396118
970,0.9549999833106995
980,0.9571999907493591
990,0.9537000060081482
1000,0.9553999900817871
1010,0.9514999985694885
